ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
8.398261,177.347214,18003.257285,7.390924,NaN,498.365377,10.351298,55.715660,2.627862,0
7.051786,211.049406,30980.600787,10.094796,NaN,315.141267,20.397022,56.651604,4.268429,0
8.315959,221.270223,16123.304451,9.475801,348.177331,501.673983,22.159747,75.364974,2.760213,0
7.347030,199.613721,19073.259595,5.766832,336.994335,413.214230,12.482482,56.794084,4.297881,1
6.255150,153.640493,24316.163340,8.211595,367.344534,295.042492,12.503661,91.270792,3.146483,0
9.181560,273.813807,24041.326280,6.904990,398.350517,477.974642,13.387341,71.457362,4.503661,0
8.551078,216.415932,28909.290284,6.936782,295.223707,510.895001,16.202371,79.859323,4.046380,0
8.111953,217.266472,38184.469574,7.254122,311.910224,281.069203,13.027921,78.582094,4.430750,1
11.496859,186.125296,12253.303389,8.066980,325.409341,260.531758,9.674083,68.073928,5.005193,0
8.975464,279.357167,19460.398131,6.204321,NaN,431.443990,12.888759,63.821237,2.436086,0
6.013161,218.843256,21573.747571,9.295852,321.168313,444.276635,14.744347,62.443239,3.455623,0
NaN,237.083948,35434.280062,7.617649,381.337527,365.032503,13.453872,33.439868,3.825937,1
NaN,200.717207,40581.486801,6.759981,263.876471,283.172008,14.915325,58.879467,4.008443,0
7.371050,214.496610,25630.320037,4.432669,335.754439,469.914551,12.509164,62.797277,2.560299,0
5.744068,173.850882,28391.998185,7.017330,355.461589,336.061803,16.895180,65.447362,3.171655,0
5.985012,151.360967,20155.434469,7.723292,275.079738,478.332360,18.016266,99.061233,3.764100,1
9.347345,201.632836,13749.596037,7.333742,322.044667,512.446305,12.434716,43.827119,3.615151,0
NaN,227.435048,22305.567414,10.333918,NaN,554.820086,16.331693,45.382815,4.133423,0
5.21899,164.790992,27007.886906,6.592517,NaN,422.223802,14.070879,73.920320,4.383943,0
NaN,212.705332,25626.481050,8.590184,338.663535,330.253375,11.052838,64.472001,4.219226,1
11.62114,203.730368,15102.237428,7.816415,NaN,447.045213,21.632385,61.801804,3.472067,0
6.660212,168.283747,30944.363591,5.858769,310.930858,523.671298,17.884235,77.042318,3.749701,0
NaN,240.429787,25959.613898,10.571596,NaN,446.742975,13.573471,80.268372,3.358353,0
NaN,161.038971,25583.492009,6.796914,NaN,467.479901,14.105554,52.331462,4.514175,1
10.337671,163.276225,21820.295875,7.899521,356.179637,561.206238,14.116324,56.193061,5.063109,0
NaN,215.977859,17107.224226,5.607060,326.943978,436.256194,14.189062,59.855476,5.459251,0
7.458708,207.786573,10513.296781,8.920633,NaN,442.368143,18.725302,43.898088,2.938082,0
6.433722,177.252511,20321.229404,6.378918,373.051772,375.028222,11.684648,61.629823,3.641490,1
NaN,196.051741,21919.470163,6.730277,359.701352,401.731338,14.219303,77.605726,3.954964,0
3.902476,196.903247,21167.500099,6.996312,NaN,444.478883,16.609033,90.181676,4.528523,0
11.027880,228.322798,13124.105636,7.516643,319.354039,376.231918,8.033859,48.529038,4.178898,0
6.770095,201.650854,25887.631722,9.367533,327.619453,519.380367,17.720300,90.064849,5.203461,1
5.287983,245.023461,27733.713099,7.135063,238.844004,464.074850,13.452179,55.642363,3.311034,0
5.400302,140.739062,17266.593422,10.056852,328.358241,472.874073,11.256381,56.931906,4.824786,0
6.729580,242.164146,17975.553227,9.808651,322.235101,440.859435,13.571223,62.179477,4.003458,0
7.927970,224.721059,27402.019999,6.875299,343.286313,315.913411,14.137120,32.438526,4.847262,1
7.617524,179.596189,30308.231181,6.952617,329.422414,355.425532,13.400760,66.223591,3.698317,0
6.514415,198.767351,21218.702871,8.670937,323.596349,413.290450,14.900000,79.847843,5.200885,0
4.150214,174.926741,41489.639814,5.569869,NaN,425.250046,12.534009,86.683635,3.502371,0
7.338826,229.978694,12603.400371,5.975488,351.318826,370.860632,19.389337,79.971647,4.017061,1
7.149125,202.582542,23158.389096,6.067812,302.002743,301.984240,17.622595,42.292766,3.787033,0
3.445062,207.926260,33424.768678,8.782147,384.007006,441.785876,13.805902,30.284597,4.184397,0
7.159398,171.816105,28954.801012,5.817090,357.328759,530.526411,18.117042,79.094440,3.254926,0
7.078361,198.412447,16648.600567,6.931096,348.547981,472.276001,17.249616,59.630894,3.263465,1
8.651390,154.546949,15901.285161,6.510980,419.216305,444.843584,14.656725,49.515175,3.266410,0
NaN,145.768181,13224.935639,7.906445,304.001993,298.990666,12.729525,49.536849,4.004871,0
NaN,235.417457,13927.002507,8.551447,NaN,446.422357,14.134954,51.705215,3.662648,0
6.751669,176.793152,32040.505669,7.931913,NaN,467.148372,11.214908,47.532395,3.735173,1
5.290004,174.738423,28697.004827,8.606790,317.016465,480.680392,13.748302,52.475868,3.532322,0
NaN,266.421018,26362.965012,7.700063,395.389490,364.480107,10.348951,53.008381,3.991564,0
6.209697,169.318505,22610.768713,4.875414,327.379939,549.276728,17.015118,51.505508,3.893767,0
7.744125,203.396227,21403.002048,7.623242,333.210903,424.328740,16.949811,48.416725,3.612260,1
5.369584,170.835192,27199.641993,8.065886,376.055637,401.833036,14.081981,81.740225,3.357484,0
NaN,148.153061,15193.413474,9.046833,307.011793,563.804743,16.568656,52.676185,6.038185,0
NaN,178.777716,10490.838987,7.533042,354.057649,367.758689,14.668950,57.401465,4.126408,0
7.560392,223.232250,14739.068540,6.731611,372.028909,481.341774,8.900409,62.134281,4.257805,1
8.747272,198.712228,30348.243651,7.324498,NaN,333.639282,13.866073,94.728129,4.764708,0
7.181449,209.625601,15196.229987,5.994679,338.336431,342.111286,7.922598,71.537953,5.088860,0
9.608534,231.340228,4544.841718,6.577834,300.922330,328.904494,11.789619,78.568182,3.042797,0
7.830608,213.249258,18821.389612,6.475113,316.572415,405.278738,16.872395,55.905770,3.551568,1
8.040392,200.637576,12999.144804,6.696356,356.870041,394.017732,11.100407,43.625910,3.017796,0
9.825490,190.756618,19677.892466,6.757541,NaN,452.836235,16.899038,47.081971,2.857472,0
5.375896,153.712874,56867.859236,7.894086,NaN,493.888464,15.116023,57.712992,4.174220,0
6.746935,154.332162,25137.427677,8.495904,274.884089,330.083723,15.983632,69.943254,3.485536,1
8.550428,206.522566,10453.087323,6.482009,326.125482,347.824328,13.997466,42.290535,4.903870,0
10.433291,117.791230,22326.892046,8.161505,307.707509,412.986834,12.890709,65.733478,5.057311,0
8.697122,166.452774,27752.000240,5.350924,372.264099,393.555796,13.748668,75.024545,4.180568,0
6.542282,146.055383,35965.744581,8.578678,NaN,474.007715,21.366387,54.127342,3.794055,1
7.739326,207.764326,30412.372331,7.813967,289.413636,273.697139,19.113382,52.281104,3.645785,0
7.414148,235.044534,32555.852537,6.845952,387.175316,411.983364,10.244815,44.489297,3.160624,0
7.748929,198.843094,18939.936655,7.375883,316.820248,368.402857,9.984033,65.251551,3.136945,0
8.549693,236.861505,17828.294524,4.752268,341.036337,423.110080,15.313243,80.931305,3.039019,1
7.104595,201.627117,18093.972162,8.474123,361.629187,348.732937,8.582461,49.382684,4.763058,0
NaN,232.280452,14787.206265,5.474915,NaN,383.981723,12.166937,86.080727,5.029167,0
7.117918,216.116319,20067.572789,9.605651,349.084949,331.971661,17.539130,84.032858,4.213568,0
7.499845,231.538868,22452.635567,7.821007,NaN,380.999098,14.338248,NaN,4.663870,1
6.988206,144.209535,33357.515863,6.771945,NaN,409.006788,17.880332,54.111785,1.899683,0
5.115817,191.952743,19620.545329,6.060713,323.836384,441.748379,10.966486,49.238231,3.902089,0
8.310029,212.698276,40936.153391,7.703375,301.254422,365.431212,12.971869,70.485251,4.775785,0
5.763773,183.073629,22025.696606,8.952896,NaN,376.581389,10.547398,63.299757,3.253200,1
7.869782,184.066169,18608.656297,7.411035,NaN,364.577603,17.580726,0.738000,4.219576,0
3.641630,183.908722,24752.072460,5.538314,286.059556,456.860096,9.034067,73.594657,3.464353,0
5.524297,157.142424,26220.174214,6.344585,379.788376,475.342272,16.903180,51.106614,4.033391,0
7.276863,165.797952,30396.904619,7.835639,281.896882,475.646051,12.326184,83.399889,6.083772,1
8.859696,194.556482,20231.517645,6.519659,332.349949,476.231710,17.889569,52.909071,4.575331,0
5.618064,304.235912,17281.975168,6.101084,NaN,399.471566,12.265002,81.588992,2.896547,0
10.201426,190.799079,8918.892600,4.899875,306.495369,331.378952,18.525434,68.547448,3.964450,0
7.493291,216.381880,9465.323905,4.947531,341.460632,501.345347,11.247507,52.951363,3.748747,1
7.397544,184.840925,19797.108543,8.422000,387.190304,428.414784,13.143444,62.337976,3.947138,0
NaN,143.453731,19942.273218,5.890755,NaN,427.130671,22.469892,53.124094,2.907564,0
5.368126,190.937979,32619.312975,8.098839,351.358134,435.666469,11.983635,107.900842,2.004143,0
6.116024,158.728901,22481.027318,8.467065,NaN,458.992936,15.495284,NaN,3.984309,1
5.174896,205.519019,12871.551220,7.099599,365.684401,501.193950,20.558672,77.123457,3.445028,0
9.267188,198.614395,24683.723566,6.110612,328.077533,396.876949,16.471969,30.383315,4.324005,0
8.937802,147.916892,10562.460539,3.694275,371.176313,480.320218,16.980755,61.158047,2.831234,0
5.226895,127.117555,7907.330441,6.761929,335.461842,475.332357,12.725010,79.420013,5.138056,1
NaN,184.218245,32328.538264,8.381231,NaN,452.890297,12.167905,79.937846,5.037492,0
NaN,233.858996,11703.923907,4.599388,309.039320,349.399633,18.338893,42.677465,3.510004,0
8.124208,207.509515,26489.114701,8.540837,318.059624,431.625677,10.075598,63.984225,4.724457,0
NaN,255.953599,15097.024064,8.482421,361.971419,471.477419,14.570932,40.287298,3.227941,1
5.470982,191.813046,36435.793514,7.369649,323.120036,383.871055,15.881382,52.765049,3.844020,0
5.331940,194.874065,16658.876503,7.993830,316.675162,335.120398,10.180514,59.572714,4.434820,0
7.184973,201.079219,25234.427972,5.216684,283.744612,384.011558,12.427538,23.136611,3.665411,0
6.420640,180.293000,26034.528198,9.710619,308.957886,473.064824,17.724396,57.596636,3.139940,1
6.711815,232.206428,23936.275332,6.619088,NaN,463.510297,13.911879,78.190897,3.413647,0
7.145772,238.689929,28780.340432,6.814029,385.975650,332.032706,11.093163,66.138045,5.182591,0
5.499489,230.308775,13902.968646,9.619575,352.084333,442.167006,14.740787,NaN,5.846827,0
7.669013,205.595635,11579.441693,4.263279,356.136518,407.721613,10.829045,83.243808,4.589513,1
4.933106,162.184382,27771.080134,7.757702,317.935411,493.304069,14.261743,77.142104,1.450000,0
9.920691,202.817483,9973.934059,6.882248,337.350529,333.192470,23.917601,71.833624,4.690707,0
NaN,256.673469,8904.799818,9.711380,293.111123,324.997824,16.848444,72.687686,3.371680,0
7.128062,191.400821,25227.545153,6.607844,319.250859,419.304980,12.865366,78.468491,4.510595,1
6.260892,188.061805,33809.224701,8.141301,341.498044,522.301232,14.467501,47.050155,4.397386,0
4.758439,183.349454,21568.428779,4.731349,NaN,403.944168,18.668229,66.912400,4.542801,0
5.319769,204.202072,22390.795566,8.053559,315.027505,399.119025,13.974085,83.157997,2.925732,0
NaN,108.916629,14476.335695,5.398162,281.198274,512.232306,15.013793,86.671459,3.895572,1
7.693555,224.393037,21856.145213,7.041440,275.271970,404.823921,12.848965,63.154905,2.750696,0
5.702926,216.850474,35606.440177,7.184351,NaN,504.638260,16.140790,77.536184,4.137739,0
6.369112,235.340943,34456.801132,9.170940,295.350524,357.417285,9.213268,59.280269,2.275903,0
6.615350,179.240661,26392.863612,9.309160,NaN,496.363562,12.786595,78.262369,4.453443,1
5.622807,194.463239,16119.340190,6.907987,336.648207,408.459081,16.364724,76.631186,3.992957,0
6.953864,209.638293,10575.186281,4.462707,315.606594,391.184315,13.285334,87.390889,3.195710,0
6.733494,197.562665,27430.441731,6.035087,303.937670,397.684986,19.394027,54.510725,3.178004,0
6.504876,159.182139,13403.086389,6.958284,296.076914,359.974437,15.636850,63.514312,3.748443,1
6.174884,193.027960,23006.242223,8.098312,340.253354,297.112621,13.475158,78.325227,3.623298,0
10.682966,173.375498,15758.740621,5.570784,307.352586,323.807913,10.090870,78.472784,3.999775,0
6.883015,210.502217,14298.410462,7.243683,316.753889,570.424259,15.958334,70.615832,4.102292,0
7.459124,195.028717,33173.499409,7.551374,NaN,534.166997,17.334052,38.368068,3.544752,1
5.039407,194.404170,19336.608073,7.194765,339.232126,515.807182,10.728669,61.129517,3.126956,0
NaN,129.890572,34415.853146,6.321929,304.535224,470.329169,18.599410,72.403634,4.405586,0
8.013516,225.156452,20375.668274,7.837398,308.594810,382.014249,12.666016,78.767052,4.444901,0
NaN,221.673134,32269.504938,8.765238,303.961739,357.358567,12.819741,51.374239,4.804829,1
7.756939,219.576215,16478.071433,6.950541,NaN,362.749220,13.054672,82.101000,3.870339,0
8.757257,200.191400,21536.224687,4.915101,317.882900,404.717799,13.768323,47.930872,3.626135,0
8.272055,204.225329,24196.522679,8.448405,332.890382,500.684873,15.157408,71.022744,5.140208,0
7.096047,221.508245,17240.021065,9.181473,322.616878,442.543599,16.576200,78.122091,4.785637,1
9.809996,139.118703,16819.423179,7.791982,361.028039,438.179247,10.951138,34.537409,5.538201,0
NaN,168.388431,27492.307307,7.046225,299.820478,383.795020,16.182066,75.729434,3.048057,0
8.746986,148.393724,22174.781141,5.459172,369.369881,407.380825,15.892079,72.164019,4.763731,0
6.989442,197.685838,12150.721923,7.984166,341.100115,303.596799,14.330886,70.856866,3.853048,0
8.479593,200.765679,14901.808144,7.379506,NaN,485.093167,16.806347,53.134170,4.221266,0
7.809632,100.457615,12013.550629,5.212315,247.200826,605.220124,9.611349,66.084174,2.447444,0
8.154841,202.317335,25620.771365,7.651668,367.224297,597.870073,11.802847,72.384762,3.696328,0
NaN,184.741394,32328.714812,8.396587,292.938221,617.144794,8.348506,51.457074,5.493181,0
8.862868,181.665398,17465.095886,7.131704,356.481890,529.086003,15.430418,60.606603,5.758676,0
6.652488,145.010172,19871.788448,4.961066,288.052192,545.974994,10.942024,71.727414,3.742090,0
9.045721,222.184169,22829.110842,7.609833,293.062459,558.747863,15.357583,44.555264,4.213700,0
8.297726,222.436321,20320.108453,7.321859,297.138687,374.119522,15.779233,93.446330,4.166105,0
6.155739,166.292920,30284.494869,8.995896,NaN,351.626734,17.404754,75.336207,3.685976,0
9.147197,211.714142,11920.610836,7.230795,339.751919,527.708910,18.275312,47.634885,3.794532,0
8.922410,207.520726,13291.922609,8.560537,357.944327,468.538326,15.692738,107.282329,4.081728,0
3.846454,211.757205,14686.283390,7.557873,326.912134,371.269374,21.765170,35.781529,3.143431,0
7.287286,219.695123,18085.502818,6.010569,277.329713,406.564794,16.136766,53.677449,3.504265,0
10.560745,181.893366,21783.651033,6.991260,340.390378,456.556402,16.482835,34.252049,3.964686,0
5.961302,182.108995,23926.078825,6.188790,364.975499,567.526159,7.791638,58.174825,4.919585,0
NaN,174.917724,28990.787882,4.660411,417.340268,468.842985,10.018238,53.347048,3.669057,0
9.065894,164.674803,20260.403692,7.588175,304.567537,408.901270,10.178500,84.723107,4.299503,0
7.484255,260.092173,30616.615149,9.379134,NaN,404.670777,15.934484,66.621027,4.781188,0
NaN,205.438977,20113.897568,7.248374,317.280210,558.953873,23.952450,68.242206,3.651865,0
9.380007,166.269757,32471.456324,7.342535,NaN,498.313062,12.779885,56.793317,4.566254,0
9.314522,203.341650,23087.217659,6.437071,297.566764,373.044172,16.402773,79.163456,3.092940,0
8.520807,238.335112,28779.650011,8.282808,381.649323,481.318803,6.016337,39.091171,3.940605,0
8.184410,166.636554,17944.852375,4.038955,331.954199,363.235756,12.535838,56.310592,4.599082,0
8.998375,169.228330,21790.010896,7.923357,NaN,436.921508,18.222195,73.217875,4.516933,0
9.759938,182.750800,19945.368306,6.719257,NaN,343.596958,19.863354,85.702564,5.381746,0
4.999414,190.287050,24323.865903,7.230164,324.893038,405.330482,8.236558,99.427385,4.460684,0
7.636454,238.936074,18136.261585,11.086526,351.558811,514.964060,8.637461,55.603512,3.332906,0
5.690387,241.215729,14083.829888,5.738962,293.465164,498.282978,24.755392,70.728902,2.988621,0
7.985406,200.134697,17583.080335,6.771729,296.569823,377.584203,10.289288,66.890747,4.752452,0
NaN,157.801194,16963.625012,8.335619,300.044234,360.995994,12.823861,71.717005,4.405386,0
7.775386,193.077168,15704.482093,7.881197,324.336203,301.753477,13.378165,89.051957,3.309472,0
7.301563,177.662895,23441.267143,9.107017,326.290630,478.467047,14.003396,55.183347,2.774961,0
8.108351,202.510194,26730.192613,8.395129,323.951805,368.454991,17.337091,NaN,4.753358,0
NaN,155.055727,20557.240432,8.187319,NaN,290.180983,16.622255,59.622057,4.089908,0
7.617149,196.606942,27080.268722,7.382755,345.179887,329.016646,8.547283,60.144702,2.391540,0
7.031684,201.002106,24510.507558,5.818274,401.268832,371.616397,12.846819,89.192433,4.422183,0
8.243091,214.532990,29461.023770,8.315130,NaN,514.490012,16.301765,90.075909,3.550717,0
3.906078,233.402835,32144.799934,6.994840,348.359448,269.449051,9.654126,63.743064,3.902880,0
6.664935,218.770008,16477.350806,7.325001,299.846523,412.308588,17.192685,41.035789,4.502138,0
4.348675,197.276364,9848.035583,10.810938,NaN,295.749525,19.958236,81.746418,4.360950,0
10.289380,162.780252,18869.212090,6.906497,344.187610,585.679589,18.857141,74.293779,3.500167,0
6.391354,213.017830,20965.478309,5.375560,327.650543,369.338121,13.758105,17.915723,3.923749,0
NaN,182.161880,30646.815275,6.325162,294.966088,404.120152,14.712285,106.371720,3.855773,0
5.294195,234.271399,26811.203068,3.611358,369.608465,570.975027,12.775773,44.675683,3.522454,0
3.989032,216.076138,40175.206091,7.487423,309.800796,399.047181,11.186739,86.957464,4.409414,0
NaN,229.485694,35729.692709,8.810843,384.943779,296.397547,16.927092,NaN,3.855602,0
8.815358,208.331084,26780.691787,7.223962,329.119685,430.406894,7.151751,88.413296,2.875880,0
7.257931,187.765622,24354.335175,7.196254,NaN,346.291785,10.892953,61.561166,4.266923,0
NaN,209.531697,44982.734155,8.898024,NaN,349.385235,15.653299,NaN,3.832479,0
8.692092,195.143739,24656.239679,8.231900,NaN,398.345418,12.380771,48.440725,4.477960,0
7.765636,173.185569,13736.342036,6.984102,359.813700,355.998026,11.515123,39.550476,3.214450,0
9.250492,184.442011,22749.178352,7.401663,375.008324,436.493762,15.402961,44.788970,3.996339,0
8.519639,190.994957,14578.961311,6.602693,NaN,498.533578,11.316601,57.181588,3.427251,0
8.085760,127.739674,32653.910360,6.534237,NaN,416.239630,11.119659,78.275050,4.068689,0
6.225152,169.741172,29533.608826,5.574917,NaN,380.114751,17.595510,75.519059,2.770823,0
9.680475,199.531666,32916.331478,6.127804,NaN,461.300095,16.109678,76.543839,2.795840,0
NaN,169.547411,20004.733628,6.437675,NaN,349.865036,11.332518,41.703766,3.882004,0
6.203978,212.306618,21815.074148,7.873992,NaN,362.108004,14.933013,63.873820,5.215689,0
NaN,223.720430,15893.674411,8.289192,303.850663,360.468484,15.234277,48.195572,4.157927,0
NaN,184.993731,19764.627445,7.505092,NaN,293.477998,12.934160,NaN,3.017985,0
NaN,223.376684,20992.281677,7.760408,340.365755,332.487993,18.085385,61.016455,4.647782,0
5.058109,238.569380,34873.934523,8.983276,374.433505,669.725086,13.353181,76.521800,5.106656,0
8.567044,160.217867,23683.110190,4.286930,360.286282,490.512539,9.027167,67.476229,2.804927,0
6.741246,196.833001,23565.732710,7.594584,315.574602,500.142898,11.663073,31.778484,3.500971,0
4.495358,234.191916,14080.833709,6.340682,296.314220,382.408074,17.353545,59.004349,4.962900,0
NaN,103.464759,27420.167425,8.417305,NaN,485.974500,11.351133,67.869964,4.620793,0
6.994195,216.665319,23027.385262,9.796330,382.152977,369.468072,18.967259,59.651523,4.398901,0
6.811702,261.389565,15149.489871,7.056107,NaN,397.787119,11.993516,66.257649,3.275008,0
NaN,193.091260,17777.100086,6.087949,NaN,543.114953,10.717588,NaN,3.878664,0
NaN,211.200526,12830.484134,4.502117,326.961518,333.329848,16.045148,49.898406,3.439740,0
3.344589,156.479927,55334.702799,8.530102,371.147770,485.631148,16.980610,69.622490,2.575141,0
6.966943,222.890265,25441.056122,7.383783,NaN,647.349939,17.391282,38.732647,4.356931,0
5.620533,226.987836,27852.097439,6.521471,309.228091,414.061545,16.932911,78.439251,3.439476,0
7.261551,179.889788,24964.777703,5.837086,349.269271,501.182781,17.287713,50.993006,3.636364,0
NaN,198.654976,20063.490327,9.539984,344.618535,412.979201,9.767081,43.142000,4.565423,0
7.446089,179.146836,17763.310993,9.876515,328.459022,364.134173,12.982491,49.051241,2.948657,0
8.552994,199.599784,10452.724414,6.587933,NaN,316.257513,23.042376,45.253715,3.108674,0
7.160467,183.089310,6743.346066,3.803036,277.599099,428.036344,9.799625,90.035374,3.884891,0
NaN,192.254162,21762.614146,7.259638,331.649659,397.262826,18.261213,45.981624,4.344805,1
6.210648,192.216738,19330.035765,8.792886,NaN,401.383264,18.225492,61.274216,3.212124,0
NaN,216.237975,20886.786563,7.326370,303.498672,269.817539,15.252780,104.682553,3.860348,0
5.704765,116.299330,33223.581529,7.050503,297.078153,504.378681,9.001820,48.147031,4.157533,0
7.774468,216.752872,22316.398284,7.947534,385.043438,288.068578,14.136699,68.861861,3.891097,1
7.341547,187.672402,21273.457066,7.784003,NaN,332.084293,16.842334,55.019151,4.025644,0
10.209956,148.379235,18413.096820,7.407967,390.619013,410.568172,15.103624,89.178485,4.112598,0
6.217273,130.944464,19460.382819,7.092463,300.131272,556.653710,14.083608,57.897075,5.325833,0
NaN,172.731433,28894.476970,4.250917,244.285145,559.629340,21.340849,51.274712,2.959750,1
7.051396,187.418883,15423.387278,8.871524,341.562673,561.790760,14.280607,NaN,3.172091,0
NaN,205.233634,21829.273148,6.677057,331.674650,338.567758,15.566655,56.608679,2.545631,0
